time,susceptible,infected,hospital,recovered,dead
0,1962,38,0,0,0
1,1925,75,0,0,0
2,1892,108,0,0,0
3,1879,121,2,0,0
4,1877,123,2,0,0
5,1877,123,2,0,0
6,1877,123,2,0,0
7,1877,123,2,0,0
8,1877,123,2,0,0
9,1877,123,4,0,0
10,1877,123,4,0,0
11,1877,123,4,0,0
12,1877,123,5,0,0
13,1877,123,6,0,0
14,1877,123,6,0,0
15,1877,123,6,0,0
16,1877,123,7,0,0
17,1877,123,8,0,0
18,1877,123,8,0,0
19,1877,123,8,0,0
20,1877,123,11,0,0
21,1877,123,12,0,0
22,1877,123,12,0,0
23,1877,123,12,0,0
24,1877,123,12,0,0
25,1877,123,13,0,0
26,1877,123,15,0,0
27,1877,123,15,0,0
28,1876,124,15,0,0
29,1876,124,15,0,0
30,1876,124,16,0,0
31,1876,124,16,0,0
32,1876,124,16,0,0
33,1876,124,17,0,0
34,1876,124,17,0,0
35,1875,125,17,0,0
36,1875,125,17,0,0
37,1875,125,17,0,0
38,1875,125,17,0,0
39,1875,125,17,0,0
40,1875,125,18,0,0
41,1875,125,18,0,0
42,1875,125,18,0,0
43,1875,125,19,0,0
44,1875,125,19,0,0
45,1875,125,20,0,0
46,1875,125,20,0,0
47,1874,126,20,0,0
48,1873,127,20,0,0
49,1873,127,21,0,0
50,1873,127,22,0,0
51,1873,127,23,0,0
52,1873,127,23,0,0
53,1870,130,24,0,0
54,1868,132,25,0,0
55,1867,133,26,0,0
56,1867,133,26,0,0
57,1865,135,26,0,0
58,1864,136,27,0,0
59,1863,137,27,0,0
60,1862,138,27,0,0
61,1862,138,27,0,0
62,1862,138,28,0,0
63,1862,138,29,0,0
64,1861,139,29,0,0
65,1860,140,29,0,0
66,1860,140,30,0,0
67,1860,140,30,0,0
68,1860,140,31,0,0
69,1860,140,31,0,0
70,1859,141,32,0,0
71,1859,141,32,0,0
72,1859,141,34,0,0
73,1859,141,36,0,0
74,1859,141,36,0,0
75,1859,141,37,0,0
76,1858,142,37,0,0
77,1858,142,38,0,0
78,1858,142,40,0,0
79,1858,142,41,0,0
80,1858,142,42,0,0
81,1858,142,42,0,0
82,1857,143,42,0,0
83,1857,143,43,0,0
84,1857,143,43,0,0
85,1857,143,45,0,0
86,1856,144,45,0,0
87,1855,145,45,0,0
88,1855,145,45,0,0
89,1855,145,46,0,0
90,1855,145,46,0,0
91,1854,146,46,0,0
92,1854,146,46,0,0
93,1854,146,46,0,0
94,1854,146,47,0,0
