time,susceptible,infected,hospital,recovered,dead
0,1954,46,0,0,0
1,1907,93,1,0,0
2,1884,116,2,0,0
3,1873,127,4,0,0
4,1869,131,5,0,0
5,1861,139,6,0,0
6,1857,143,7,0,0
7,1856,144,7,0,0
8,1856,144,9,0,0
9,1856,144,10,0,0
10,1856,144,10,0,0
11,1856,144,10,0,0
12,1856,144,10,0,0
13,1856,144,10,0,0
14,1856,144,10,0,0
15,1856,144,11,0,0
16,1856,144,11,0,0
17,1856,144,12,0,0
18,1855,145,12,0,0
19,1855,145,12,0,0
20,1855,145,12,0,0
21,1855,145,12,0,0
22,1855,145,12,0,0
23,1853,147,12,0,0
24,1852,148,13,0,0
25,1852,148,13,0,0
26,1851,149,13,0,0
27,1851,149,16,0,0
28,1851,149,19,0,0
29,1851,149,19,0,0
30,1851,149,20,0,0
31,1851,149,20,0,0
32,1851,149,21,0,0
33,1851,149,21,0,0
34,1851,149,23,0,0
35,1850,150,24,0,0
36,1850,150,24,0,0
37,1850,150,24,0,0
38,1850,150,25,0,0
39,1850,150,26,0,0
40,1845,155,26,0,0
41,1844,156,27,0,0
42,1842,158,27,0,0
43,1842,158,28,0,0
44,1841,159,28,0,0
45,1841,159,29,0,0
46,1841,159,29,0,0
47,1841,159,29,0,0
48,1841,159,30,0,0
49,1841,159,30,0,0
50,1841,159,31,0,0
51,1841,159,31,0,0
52,1841,159,32,0,0
53,1841,159,33,0,0
54,1841,159,34,0,0
55,1841,159,35,0,0
56,1841,159,36,0,0
57,1841,159,37,0,0
58,1839,161,37,0,0
59,1839,161,37,0,0
60,1836,164,37,0,0
61,1836,164,37,0,0
62,1834,166,37,0,0
63,1834,166,38,0,0
64,1832,168,38,0,0
65,1832,168,38,0,0
66,1828,172,39,0,0
67,1827,173,39,0,0
68,1826,174,39,0,0
69,1825,175,40,0,0
70,1824,176,40,0,0
71,1824,176,41,0,0
72,1824,176,41,0,0
73,1824,176,42,0,0
74,1824,176,43,0,0
75,1824,176,43,0,0
76,1824,176,45,0,0
77,1823,177,48,0,0
78,1823,177,50,0,0
79,1823,177,50,0,0
80,1820,180,51,0,0
81,1819,181,51,0,0
82,1816,184,52,0,0
83,1815,185,54,0,0
84,1814,186,55,0,0
85,1814,186,56,0,0
86,1814,186,56,0,0
87,1813,187,57,0,0
88,1812,188,58,0,0
89,1811,189,58,0,0
90,1811,189,58,0,0
91,1811,189,60,0,0
92,1811,189,61,0,0
93,1810,190,63,0,0
94,1807,193,64,0,0
95,1806,194,64,0,0
96,1806,194,65,0,0
97,1806,194,66,0,0
98,1806,194,67,0,0
99,1806,194,68,0,0
100,1806,194,69,0,0
101,1806,194,68,0,0
102,1806,194,68,0,0
103,1806,194,69,0,0
104,1806,194,69,0,0
105,1806,194,69,0,0
106,1806,194,70,0,0
107,1805,195,72,0,0
108,1805,195,70,0,0
109,1803,197,70,0,0
110,1802,198,70,0,0
111,1802,198,70,0,0
112,1802,198,71,0,0
113,1801,199,72,0,0
114,1799,201,72,0,0
115,1799,201,71,0,0
116,1799,201,71,0,0
117,1797,203,70,0,0
118,1797,203,71,0,0
119,1797,203,71,0,0
120,1797,203,71,0,0
121,1797,203,72,0,0
122,1797,203,72,0,0
123,1797,203,73,0,0
124,1797,203,72,0,0
125,1797,203,73,0,0
126,1797,203,74,0,0
127,1796,204,72,0,0
