time,susceptible,infected,hospital,recovered,dead
0,1954,46,0,0,0
1,1866,134,2,0,0
2,1836,164,3,0,0
3,1827,173,4,0,0
4,1824,176,5,0,0
5,1824,176,8,0,0
6,1824,176,8,0,0
7,1824,176,9,0,0
8,1824,176,9,0,0
9,1824,176,10,0,0
10,1824,176,11,0,0
11,1824,176,13,0,0
12,1824,176,15,0,0
13,1824,176,18,0,0
14,1824,176,19,0,0
15,1824,176,20,0,0
16,1824,176,23,0,0
17,1824,176,23,0,0
18,1824,176,24,0,0
19,1824,176,26,0,0
20,1824,176,26,0,0
21,1824,176,27,0,0
22,1824,176,27,0,0
23,1824,176,27,0,0
24,1824,176,27,0,0
25,1824,176,29,0,0
26,1822,178,30,0,0
27,1820,180,31,0,0
28,1820,180,31,0,0
29,1820,180,32,0,0
30,1820,180,33,0,0
31,1820,180,34,0,0
32,1820,180,34,0,0
33,1820,180,34,0,0
34,1820,180,35,0,0
35,1820,180,36,0,0
36,1820,180,36,0,0
37,1820,180,36,0,0
38,1820,180,36,0,0
39,1820,180,37,0,0
40,1819,181,39,0,0
41,1819,181,39,0,0
42,1819,181,41,0,0
43,1819,181,42,0,0
44,1819,181,42,0,0
45,1819,181,43,0,0
46,1818,182,44,0,0
47,1817,183,45,0,0
48,1817,183,47,0,0
49,1817,183,49,0,0
50,1816,184,50,0,0
51,1815,185,51,0,0
52,1814,186,51,0,0
53,1813,187,51,0,0
54,1812,188,51,0,0
55,1811,189,52,0,0
56,1811,189,53,0,0
57,1810,190,56,0,0
58,1807,193,57,0,0
59,1801,199,57,0,0
60,1798,202,57,0,0
61,1797,203,58,0,0
62,1796,204,58,0,0
63,1793,207,59,0,0
64,1791,209,59,0,0
65,1791,209,59,0,0
66,1790,210,59,0,0
67,1788,212,60,0,0
68,1788,212,61,0,0
69,1788,212,62,0,0
70,1784,216,64,0,0
71,1779,221,64,0,0
72,1774,226,64,0,0
73,1771,229,64,0,0
74,1766,234,66,0,0
75,1764,236,67,0,0
76,1763,237,69,0,0
77,1763,237,70,0,0
78,1762,238,70,0,0
79,1762,238,70,0,0
80,1759,241,71,0,0
81,1758,242,74,0,0
82,1755,245,75,0,0
83,1755,245,78,0,0
84,1755,245,78,0,0
85,1755,245,78,0,0
86,1754,246,79,0,0
87,1754,246,80,0,0
88,1754,246,81,0,0
89,1754,246,82,0,0
90,1749,251,84,0,0
91,1747,253,84,0,0
92,1744,256,85,0,0
93,1743,257,86,0,0
94,1743,257,86,0,0
95,1742,258,86,0,0
96,1741,259,86,0,0
97,1740,260,86,0,0
98,1740,260,86,0,0
99,1735,265,88,0,0
100,1731,269,89,0,0
101,1730,270,88,0,0
102,1730,270,88,0,0
103,1728,272,87,0,0
104,1727,273,86,0,0
105,1727,273,83,0,0
106,1726,274,83,0,0
107,1724,276,83,0,0
108,1722,278,84,0,0
109,1719,281,83,0,0
110,1718,282,82,0,0
111,1715,285,81,0,0
112,1714,286,80,0,0
113,1712,288,77,0,0
114,1711,289,77,0,0
115,1709,291,76,0,0
116,1707,293,73,0,0
117,1707,293,74,0,0
118,1704,296,75,0,0
119,1703,297,74,0,0
120,1703,297,74,0,0
121,1702,298,73,0,0
122,1701,299,75,0,0
123,1701,299,78,0,0
124,1701,299,79,0,0
125,1701,299,77,0,0
126,1697,303,77,0,0
127,1695,305,78,0,0
128,1692,308,81,0,0
129,1689,311,83,0,0
130,1689,311,85,0,0
131,1688,312,85,0,0
132,1687,313,85,0,0
133,1687,313,85,0,0
134,1687,313,85,0,0
135,1687,313,87,0,0
136,1685,315,88,0,0
137,1682,318,89,0,0
138,1681,319,90,0,0
139,1681,319,89,0,0
140,1681,319,87,0,0
141,1681,319,87,0,0
142,1681,319,86,0,0
143,1681,319,87,0,0
144,1681,319,88,0,0
145,1680,320,87,0,0
146,1680,320,87,0,0
147,1679,321,87,0,0
148,1679,321,87,0,0
149,1676,324,86,0,0
150,1670,330,87,0,0
151,1669,331,87,0,0
152,1666,334,87,0,0
153,1665,335,90,0,0
154,1665,335,91,0,0
155,1665,335,90,0,0
156,1665,335,90,0,0
157,1665,335,90,0,0
158,1665,335,89,0,0
159,1664,336,90,0,0
160,1664,336,90,0,0
161,1664,336,90,0,0
162,1663,337,91,0,0
163,1662,338,90,0,0
164,1661,339,91,0,0
165,1661,339,91,0,0
166,1660,340,93,0,0
167,1659,341,93,0,0
168,1659,341,93,0,0
169,1657,343,94,0,0
170,1654,346,93,0,0
171,1654,346,95,0,0
172,1651,349,98,0,0
173,1646,354,101,0,0
174,1645,355,100,0,0
175,1644,356,101,0,0
176,1640,360,101,0,0
177,1638,362,103,0,0
178,1637,363,104,0,0
179,1633,367,104,0,0
180,1631,369,105,0,0
181,1630,370,104,0,0
182,1625,375,103,0,0
183,1622,378,100,0,0
184,1620,380,101,0,0
185,1617,383,102,0,0
186,1617,383,102,0,0
187,1616,384,102,0,0
188,1614,386,102,0,0
189,1613,387,103,0,0
190,1611,389,104,0,0
191,1611,389,105,0,0
192,1611,389,104,0,0
